pkg_name,dataset_name,dataset_title,dataset_description,dataset_format,dataset_source,dataset_reference,dataset_has_examples,dataset_has_links
A3,multifunctionality,Ecosystem Multifunctionality,"This dataset relates multifunctionality to a number of different biotic and abiotic features in a global survey of drylands. The dataset was obtained from ( list(""http://www.sciencemag.org/content/335/6065/214/suppl/DC1"") ). The dataset contains the features listed below.","NA","NA","Maestre, F. T., Quero, J. L., Gotelli, N. J., Escudero, A., Ochoa, V., Delgado-Baquerizo, M., et al. (2012). Plant Species Richness and Ecosystem Multifunctionality in Global Drylands. Science, 335(6065), 214-218. doi:10.1126/science.1215442",FALSE,FALSE
A3,housing,Boston Housing Prices,"A dataset containing the prices of houses in the Boston region and a number of features. The dataset and the following description is based on that provided by UCI Machine Learning Repository ( list(""http://archive.ics.uci.edu/ml/datasets/Housing"") ).","NA","NA","Frank, A. & Asuncion, A. (2010). UCI Machine Learning Repository [http://archive.ics.uci.edu/ml]. Irvine, CA: University of California, School of Information and Computer Science. Harrison, D. and Rubinfeld, D.L. Hedonic prices and the demand for clean air, J. Environ. Economics & Management, vol.5, 81-102, 1978.",FALSE,FALSE
ABC.RAP,annotation_file,annotation file for the 450k probes,"UCSC annotation for the 450k DNA methylation probes. The annotation was obtained from ""Illumina GPL13534_HumanMethylation450_15017482_v1.1"" file with few amendments on the gene names",A data frame,"NA","NA",FALSE,FALSE
ABC.RAP,test_data,test dataset of 450k DNA methylation,"This is a small dataset of 450k DNA methylation array with 10000 probes. The dataset has four columns; columns 1 and 2 contain normalised beta values for paediatric B ALL cases, and columns 3 and 4 contain beta values for controls (remission cases)",A data frame,"NA","Busche S, Ge B, Vidal R, etc. Integration of high-resolution methylome and transcriptome analyses to dissect epigenomic changes in childhood acute lymphoblastic leukaemia. Cancer Research 2013; 73(14); 4323-4336",FALSE,FALSE
ABC.RAP,nonspecific_probes,450k DNA methylation non specific probes,data frame of the non specific probes that need to be filtered out from 450k array datasets,A data frame,"NA","Chen YA, Lemire M, Choufani S, et al. Discovery of cross-reactive probes and polymorphic CpGs in the Illumina Infinium HumanMethylation450 microarray. Epigenetics 2013;8;203-9",FALSE,FALSE
ABCanalysis,SwissInhabitants,SwissInhabitants in 1900,Number of inhabitants in the 2896 villages of Switzerland in the year 1900.,"NA","Schuler,M.,  Ullmann, D. Eidgenossische Volkszahlung:Bevoelkerungsentwicklung der Gemeinden, Bundesamt fur Statistik, Neuchatel, Switzerland, 2002","Behnisch, M., Ultsch, A.: Population Patterns in Switzerland 1850-2000, in: Gaul, W. et al (Eds), Advances in Data Analysis, Data Handling and Business Intelligence, Springer, Heidelberg, pp. 163-173, 2010.",TRUE,FALSE
ABCanalysis,ABCanalysis-package,Computed ABC analysis,"Computed ABC Analysis allows the optimal calculation of three disjoint subsets A,B,C in data sets containing positive values: subset A containing few most profitable values, i.e. largest data values (""the important few""), subset B containing data, where the profit gain equals effort required to obtain this gain, and the subset C of non-profitable values, i.e. the smallest data sets (""the trivial many""). This package calculates the three subsets A, B and C by means of an algorithm based on statistically valid definitions of thresholds for the three sets A,B and C.","NA","NA","Ultsch. A ., Lotsch J.: Computed ABC Analysis for Rational Selection of Most Informative Variables in Multivariate Data, PloS one, Vol. 10(6), pp. e0129767. doi 10.1371/journal.pone.0129767, 2015.",TRUE,FALSE
abcdeFBA,Ecoli_core.rda,E.coli core model 72 reactions and 95 metabolites,"This ""list"" form of the E.coli core model was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,Systems Biology Properties of Reconstructed Networks,FALSE,FALSE
abcdeFBA,H_sapien_Recon1,"H. sapien Recon1, human metabolic network reconstruction","This ""list"" form of the human model Recon1 was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Duarte NC, Becker SA, Jamshidi N, Thiele I, Mo ML, Vo TD, Srivas R and Palsson BO, Global reconstruction of the human metabolic network based on genomic and bibliomic data, PNAS.",FALSE,FALSE
abcdeFBA,Ec_iAF1260_flux1.rda,E.coli model 1260 ORF's,"This ""list"" form of the E.coli model iAF1260 was created from the S4 object created by readSBMLmod from the package Sybil using the Sybil_2_FBA_obj function.",A list containing the information required to perform FBA and annotations for intelligible output.,BiGG database,"Feist AM, Henry CS, Reed JL, Krummenacker M, Joyce AR, Karp PD, Broadbelt LJ, Hatzimanikatis V and Palsson BO, A genome-scale metabolic reconstruction for Escherichia coli K-12 MG1655 that accounts for 1260 ORFs and thermodynamic information, Molecular Systems Biology.",FALSE,FALSE
